"sample","mouse","treatment","timepoint","aro_term","amr_gene_family","drug_class","resistance_mechanism","tpm"
"am359","359","metro","after","tet(W/32/O)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",7883.50178411223
"am359","359","metro","after","tet(O)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",24754.1956021124
"am360","360","metro","after","CblA-1","CblA beta-lactamase","cephalosporin","antibiotic inactivation",6163.47320910649
"am360","360","metro","after","tet(Q)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",803014.162525872
"am360","360","metro","after","tet(O)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",8244.2119128793
"am360","360","metro","after","Mef(En2)","major facilitator superfamily (MFS) antibiotic efflux pump","macrolide antibiotic; lincosamide antibiotic","antibiotic efflux",53036.1728906521
"am360","360","metro","after","Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin","rifamycin-resistant beta-subunit of RNA polymerase (rpoB)","rifamycin antibiotic","antibiotic target alteration; antibiotic target replacement",129541.97946149
"am361","361","metro","after","CblA-1","CblA beta-lactamase","cephalosporin","antibiotic inactivation",3788.89283174199
"am361","361","metro","after","CfxA6","CfxA beta-lactamase","cephalosporin","antibiotic inactivation",2965.77868870166
"am361","361","metro","after","tet(40)","major facilitator superfamily (MFS) antibiotic efflux pump","tetracycline antibiotic","antibiotic efflux",5011.32278252361
"am361","361","metro","after","tet(Q)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",803679.664224431
"am361","361","metro","after","vanR gene in vanG cluster","glycopeptide resistance gene cluster; vanR","glycopeptide antibiotic","antibiotic target alteration",21457.0138543355
"am361","361","metro","after","Mef(En2)","major facilitator superfamily (MFS) antibiotic efflux pump","macrolide antibiotic; lincosamide antibiotic","antibiotic efflux",57209.8076688356
"am361","361","metro","after","vanY gene in vanG cluster","vanY; glycopeptide resistance gene cluster","glycopeptide antibiotic","antibiotic target alteration",18336.3806886157
"am361","361","metro","after","Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin","rifamycin-resistant beta-subunit of RNA polymerase (rpoB)","rifamycin antibiotic","antibiotic target alteration; antibiotic target replacement",78211.7494606219
"am361","361","metro","after","vanS gene in vanG cluster","vanS; glycopeptide resistance gene cluster","glycopeptide antibiotic","antibiotic target alteration",9339.3898001933
"am362","362","metro","after","CblA-1","CblA beta-lactamase","cephalosporin","antibiotic inactivation",10579.661476975
"am362","362","metro","after","CfxA6","CfxA beta-lactamase","cephalosporin","antibiotic inactivation",3263.56404098626
"am362","362","metro","after","tet(40)","major facilitator superfamily (MFS) antibiotic efflux pump","tetracycline antibiotic","antibiotic efflux",3993.25526390948
"am362","362","metro","after","tet(Q)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",535164.984836501
"am362","362","metro","after","vanR gene in vanG cluster","glycopeptide resistance gene cluster; vanR","glycopeptide antibiotic","antibiotic target alteration",6427.56172140006
"am362","362","metro","after","Mef(En2)","major facilitator superfamily (MFS) antibiotic efflux pump","macrolide antibiotic; lincosamide antibiotic","antibiotic efflux",25605.1765802753
"am362","362","metro","after","Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin","rifamycin-resistant beta-subunit of RNA polymerase (rpoB)","rifamycin antibiotic","antibiotic target alteration; antibiotic target replacement",410854.94359689
