clade	ac351	ac352	ac353	ac354	ac355	ac356	ad363	ad364	ad365	ad366	ad367	ad368	am357	am358	am359	am360	am361	am362	amd782	amd783	amd784	amd785	amd786	amd787	bc351	bc352	bc353	bc354	bc355	bc356	bd363	bd364	bd365	bd366	bd367	bd368	bm357	bm358	bm359	bm360	bm361	bm362	bmd782	bmd783	bmd784	bmd785	bmd786	bmd787
k__Bacteria|p__Firmicutes|c__CFGB9827	15824	16626	52888	27055	14812	1763	28974	20084	21473	37832	39625	16409	2657	5408	11663	14399	10702	7174	21800	47852	18317	13377	40054	12844	13711	12313	55187	26845	16697	6016	13602	4260	14330	8138	12416	118667	238	65261	68285	9726	12422	15190	26511	26754	83818	11107	16779	17615
k__Bacteria|p__Firmicutes|c__CFGB9836	0	0	22852	0	0	0	0	0	0	0	7202	0	0	0	0	0	0	437	0	0	0	0	0	0	0	4354	0	0	0	0	0	0	0	0	0	0	0	1051	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB9960	72	0	3732	895	0	0	259	6915	0	4625	1002	7956	0	26937	44979	15931	28650	1092	0	28545	0	35694	2601	8872	0	0	10403	3723	0	0	0	0	0	0	11359	1833	0	0	1858	0	260	718	0	0	96	0	1606	1730
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	53111	200448	43713	183845	123125	190976	71815	32660	77065	32258	34735	48566	121151	202521	233749	236438	89590	62650	134862	128926	149303	136464	29032	102914	84712	89439	136100	202071	387070	313723	73658	49440	21510	79077	100772	43791	132281	46183	21732	72123	90847	39983	114049	79635	86998	118400	76218	88505
k__Bacteria|p__Proteobacteria|c__CFGB28310	0	0	180	273372	21869	121953	155807	161408	819347	117473	752204	106455	0	0	0	153299	183613	488134	133356	321776	175804	245485	618609	106046	228434	107419	56183	213173	93641	99337	403549	97401	383383	109712	136748	731432	138534	395893	167928	97259	116268	55590	82846	157589	0	138011	0	0
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	14273	6146	7218	6555	12457	0	7030	20765	20278	38226	21341	5343	0	298	5855	3564	22211	14773	2614	21408	10335	7017	11273	2532	0	0	1203	991	3030	1125	17937	20058	2949	1979	4527	11260	7224	1410	9002	8201	1683	1512	9097	7169	0	18450	0	0
k__Bacteria|p__Tenericutes|c__CFGB1791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	1558274	1851085	0	403990	1651059	36573	0	0	27284	0	2467	0	4073316	2055764	1386510	5544	964	1792	143852	11121	14958	1822	8903	5457	179617	36703	0	478288	428488	343967	0	0	0	962	3241	2938	2461728	0	0	0	0	16121	0	31725	19259	2214	30637	7665
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	651825	392887	37272	432540	162133	418533	742629	0	169460	76198	553482	1909125	102218	5857	9542	953261	835110	3430024	3769431	1804029	1775637	782209	839649	920239	117724	236346	248	2521	746	0	67665	0	65907	13367	0	0	144	0	0	0	0	17335	0	8286	190579	0	292013	78326
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__CFGB77153|o__OFGB77153	11618	9236	13765	8920	1411	11324	6821	4343	3195	670	10898	23748	175	6013	9485	19759	72071	113689	35196	23897	4910	94137	137018	62228	3051	12612	0	4193	8450	5662	30098	4808	8273	7046	40093	12799	2286	6048	887	7014	4026	1814	12627	8728	9478	69171	78673	59932
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	931154	825110	51426	248344	98475	1239799	168790	60195	157206	85555	244032	908474	293160	60117	56049	128572	310510	516953	284973	66767	63816	242356	429362	297965	17431	40107	90880	118354	155150	277043	1285646	59283	631745	200489	467378	537629	65091	191441	70783	238182	504321	193422	229138	168863	55871	1451907	248498	55294
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	1307702	1716353	253330	385294	216503	1740687	325601	249265	247991	116043	284610	821958	509377	38567	105492	461006	838199	1668789	1196209	242300	141021	533253	1431907	559887	225410	536809	177082	112376	152903	243078	693177	238657	308814	114904	526008	574821	83110	246434	47521	199727	277637	126558	460112	213926	451540	1607132	1345240	417998
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified	126452	86076	569507	162883	58562	18747	333452	557235	205437	333957	206200	93045	36351	113817	576544	344638	418485	324834	190596	358299	70445	672418	519431	290532	248996	45774	116017	84500	77583	55149	184514	41165	52439	129907	30116	565223	21648	1497217	693948	117275	104693	29598	177732	168927	129081	402039	144355	118712
k__Bacteria|p__Bacteria_unclassified|c__CFGB77303|o__OFGB77303	0	7530	59172	47419	2865	4482	24897	10549	7240	23406	12588	0	0	5997	28357	1538	10537	0	8700	18528	4298	14010	52792	33392	19473	12433	28703	17854	12860	0	6148	3873	6193	4351	2196	35721	0	54370	13156	4271	3860	3496	12979	10919	20166	17454	16281	24426
k__Bacteria|p__Bacteria_unclassified|c__CFGB77359|o__OFGB77359	101426	23339	61886	4127	3495	0	40187	18737	28430	18108	1285	1641	0	0	0	0	0	0	0	0	307	0	14726	0	45868	74569	73545	5687	10950	2408	21367	1205	4455	10439	0	44148	0	189776	41399	10909	6033	10872	3251	4569	15244	27882	28981	40807
